,cpu_usage,mem_usage_mb,app_rps_1m,ingress_rps_1m,rps_diff_1m,app_p99_latency,ingress_p99_latency,nginx_active_conn,nginx_writing_conn,latency_gap
2026-04-06 14:57:26,0.22300134125311363,32.20703125,20.2,19.966666666666665,0.23333333333333428,0.0495,0.08865909090909088,22.0,1.0,0.0007870370370370514
2026-04-06 14:57:41,0.20789769182782283,33.4453125,20.745454545454546,20.066666666666666,0.6787878787878796,0.049499999999999995,0.049033653846153845,22.0,2.0,0.0062548076923076915
2026-04-06 14:57:56,0.20243164140806688,31.6875,20.036363636363635,20.066666666666666,0.030303030303031164,0.049499999999999995,0.049033653846153845,22.0,2.0,0.0062548076923076915
2026-04-06 14:58:11,0.20259143383402078,32.29296875,19.927272727272726,19.53333333333333,0.3939393939393945,0.049499999999999995,0.049255208333333314,22.0,1.0,0.006348958333333342
2026-04-06 14:58:26,0.2096137441799175,33.4921875,19.818181818181817,19.53333333333333,0.28484848484848513,0.04950000000000001,0.049255208333333314,22.0,1.0,0.006348958333333356
2026-04-06 14:58:41,0.21698237574903076,32.515625,19.96363636363636,19.166666666666668,0.7969696969696933,0.0495,0.05208333333333408,22.0,1.0,0.0038087121212121156
2026-04-06 14:58:56,0.22400577556203555,31.10546875,20.054545454545455,19.166666666666668,0.8878787878787868,0.04950000000000001,0.05208333333333408,22.0,1.0,0.0038087121212121225
2026-04-06 14:59:11,0.2296343453621298,33.9765625,20.254545454545454,20.333333333333332,0.07878787878787818,0.0495,0.07458333333333327,22.0,1.0,0.003386554621848767
2026-04-06 14:59:26,0.23681913983431052,32.02734375,20.672727272727272,20.333333333333332,0.3393939393939398,0.0495,0.07458333333333327,22.0,1.0,0.003386554621848767
2026-04-06 14:59:41,0.25939860292512545,35.94140625,21.581818181818182,20.8,0.7818181818181813,0.049499999999999995,0.08164705882352924,27.0,2.0,0.0020724637681159494
2026-04-06 14:59:56,0.263173153749572,42.796875,22.563636363636363,20.8,1.763636363636362,0.0495,0.08164705882352924,27.0,2.0,0.0020724637681159563
2026-04-06 15:00:11,0.2674970239490089,44.3984375,23.49090909090909,24.0,0.5090909090909115,0.04950000000000001,0.08615384615384605,27.0,3.0,0.001052795031055917
2026-04-06 15:00:26,0.2297822094842422,45.4765625,24.672727272727272,24.0,0.672727272727272,0.049499999999999995,0.08615384615384605,27.0,3.0,0.001052795031055903
2026-04-06 15:00:41,0.265792038971527,54.79296875,24.563636363636363,24.633333333333333,0.06969696969697026,0.04950000000000001,0.0589444444444447,27.0,1.0,0.0043863636363636535
2026-04-06 15:00:56,0.26507262277951915,59.11328125,24.654545454545453,24.633333333333333,0.021212121212119683,0.0495,0.0589444444444447,27.0,1.0,0.004386363636363647
2026-04-06 15:01:11,0.2661199234909478,58.484375,24.418181818181814,24.466666666666665,0.04848484848485057,0.0495,0.08470833333333325,27.0,1.0,0.0016746575342465875
2026-04-06 15:01:26,0.2676717019346397,58.8046875,24.709090909090907,24.466666666666665,0.2424242424242422,0.0495,0.08470833333333325,27.0,1.0,0.0016746575342465875
2026-04-06 15:01:41,0.2699221961374915,59.2421875,24.745454545454542,23.966666666666665,0.7787878787878775,0.0495,0.06731818181818133,27.0,1.0,0.004225378787878806
2026-04-06 15:01:56,0.2703794787652155,60.6328125,24.89090909090909,23.966666666666665,0.9242424242424256,0.0495,0.06731818181818133,27.0,1.0,0.004225378787878806
2026-04-06 15:02:11,0.2689560481216209,61.0,24.599999999999998,24.333333333333332,0.2666666666666657,0.0495,0.08031249999999998,27.0,1.0,0.0026050955414012866
2026-04-06 15:02:26,0.26412914684002375,61.0390625,24.763636363636362,24.333333333333332,0.43030303030302974,0.0495,0.08031249999999998,27.0,1.0,0.0026050955414012866
2026-04-06 15:02:41,0.2782418594594594,60.55078125,25.727272727272727,24.633333333333333,1.0939393939393938,0.0495,0.08780555555555572,32.0,1.0,0.002520833333333347
2026-04-06 15:02:56,0.29631754109530706,60.5859375,26.999999999999996,24.633333333333333,2.3666666666666636,0.0495,0.08780555555555572,32.0,1.0,0.002520833333333347
2026-04-06 15:03:11,0.3100469205018643,60.5859375,28.27272727272727,29.166666666666668,0.893939393939398,0.0495,0.06022727272727262,32.0,1.0,0.004178571428571434
2026-04-06 15:03:26,0.3197202082171405,60.30078125,29.47272727272727,29.166666666666668,0.30606060606060126,0.0495,0.06022727272727262,32.0,1.0,0.004178571428571434
2026-04-06 15:03:41,0.3400066892203597,60.34375,29.636363636363633,29.266666666666666,0.3696969696969674,0.0495,0.0897272727272728,32.0,2.0,0.0005800970873786407
2026-04-06 15:03:56,0.2794882577320977,60.3359375,29.599999999999998,29.266666666666666,0.33333333333333215,0.0495,0.0897272727272728,32.0,2.0,0.0005800970873786407
2026-04-06 15:04:11,0.3316840844588475,60.515625,29.818181818181817,29.366666666666667,0.4515151515151494,0.0495,0.07552777777777783,32.0,2.0,0.0033084795321637397
2026-04-06 15:04:26,0.3233259465904749,60.73828125,29.672727272727272,29.366666666666667,0.3060606060606048,0.0495,0.07552777777777783,32.0,2.0,0.0033084795321637397
2026-04-06 15:04:41,0.3383514534625297,60.76953125,29.527272727272724,28.7,0.8272727272727245,0.0495,0.07734210526315796,32.0,1.0,0.0025520304568528024
2026-04-06 15:04:56,0.33372337683260844,61.43359375,29.36363636363636,28.7,0.6636363636363605,0.0495,0.07734210526315796,32.0,1.0,0.0025520304568528024
2026-04-06 15:05:11,0.31750842347934016,61.8828125,29.07272727272727,28.5,0.5727272727272705,0.0495,0.07964285714285711,32.0,3.0,0.0024876373626373655
2026-04-06 15:05:26,0.31530472394839715,61.78125,29.036363636363635,28.5,0.5363636363636353,0.0495,0.07964285714285711,32.0,3.0,0.0024876373626373655
2026-04-06 15:05:41,0.2525438176386748,61.78125,30.309090909090905,30.166666666666668,0.14242424242423724,0.049529909365558906,0.07486111111111124,37.0,2.0,0.0030780864488922435
2026-04-06 15:05:56,0.36429372998133525,60.69921875,32.0,30.166666666666668,1.8333333333333321,0.0495283180778032,0.07486111111111124,37.0,2.0,0.00307649516113654
2026-04-06 15:06:11,0.3750806149069662,60.6875,33.78181818181818,34.2,0.41818181818182154,0.04952681473456121,0.0892325581395351,37.0,2.0,0.00030011981930697096
2026-04-06 15:06:26,0.33052443288495936,60.6796875,34.85454545454545,34.2,0.654545454545449,0.0495,0.0892325581395351,37.0,2.0,0.0002733050847457605
2026-04-06 15:06:41,0.3867980611455838,60.96484375,35.018181818181816,34.733333333333334,0.2848484848484816,0.049499999999999995,0.08203448275862082,37.0,3.0,0.0018571428571428628
2026-04-06 15:06:56,0.337973636264433,61.01171875,35.309090909090905,34.733333333333334,0.5757575757575708,0.04950000000000001,0.08203448275862082,37.0,3.0,0.0018571428571428766
2026-04-06 15:07:11,0.31909002069029907,61.01171875,34.69090909090909,34.56666666666666,0.12424242424242493,0.0495,0.0884777777777778,37.0,1.0,0.0002611111111111078
